Year,Label,ID,Value1,Value2,Description,Suggested Weight,Indicator Name,Include,ID2,Description2,Data Type,Table Type
2023,Recoded Detailed Ancestry - first entry,ANC1P,021,021,Dutch,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,022,022,English,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,024,024,Finnish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,026,026,French,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,032,032,German,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,040,040,Prussian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,046,046,Greek,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,049,049,Icelander,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,050,050,Irish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,051,051,Italian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,068,068,Sicilian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,077,077,Luxembourger,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,078,078,Maltese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,082,082,Norwegian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,084,084,Portuguese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,087,087,Scotch Irish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,088,088,Scottish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,089,089,Swedish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,091,091,Swiss,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,094,094,Irish Scotch,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,097,097,Welsh,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,098,098,Scandinavian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,099,099,Celtic,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,100,100,Albanian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,102,102,Belorussian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,103,103,Bulgarian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,109,109,Croatian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,111,111,Czech,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,112,112,Bohemian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,114,114,Czechoslovakian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,115,115,Estonian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,122,122,German Russian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,124,124,Rom,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,125,125,Hungarian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,128,128,Latvian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,129,129,Lithuanian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,130,130,Macedonian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,131,131,Montenegrin,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,142,142,Polish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,144,144,Romanian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,146,146,Moldavian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,148,148,Russian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,152,152,Serbian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,153,153,Slovak,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,154,154,Slovene,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,168,168,Turkestani,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,169,169,Uzbeg,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,170,170,Georgia CIS,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,171,171,Ukrainian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,176,176,Yugoslavian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,177,177,Bosnian and Herzegovinian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,178,178,Slavic,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,181,181,Central European,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,183,183,Northern European,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,185,185,Southern European,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,187,187,Western European,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,190,190,Eastern European,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,194,194,Germanic,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,195,195,European,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,200,200,Spaniard,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,210,210,Mexican,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,211,211,Mexican American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,212,212,Mexicano,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,213,213,Chicano,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,215,215,Mexican American Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,218,218,Mexican State,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,219,219,Mexican Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,221,221,Costa Rican,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,222,222,Guatemalan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,223,223,Honduran,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,224,224,Nicaraguan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,225,225,Panamanian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,226,226,Salvadoran,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,227,227,Central American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,231,231,Argentinean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,232,232,Bolivian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,233,233,Chilean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,234,234,Colombian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,235,235,Ecuadorian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,236,236,Paraguayan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,237,237,Peruvian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,238,238,Uruguayan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,239,239,Venezuelan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,249,249,South American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,250,250,Latin American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,251,251,Latin,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,252,252,Latino,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,261,261,Puerto Rican,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,271,271,Cuban,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,275,275,Dominican,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,290,290,Hispanic,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,291,291,Spanish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,295,295,Spanish American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,300,300,Bahamian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,301,301,Barbadian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,302,302,Belizean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,308,308,Jamaican,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,310,310,Dutch West Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,314,314,Trinidadian Tobagonian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,322,322,British West Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,325,325,Antigua and Barbuda,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,329,329,Grenadian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,330,330,Vincent-Grenadine Islander,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,331,331,St Lucia Islander,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,335,335,West Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,336,336,Haitian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,359,359,Other West Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,360,360,Brazilian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,370,370,Guyanese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,400,400,Algerian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,402,402,Egyptian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,404,404,Libyan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,406,406,Moroccan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,411,411,North African,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,416,416,Iranian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,417,417,Iraqi,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,419,419,Israeli,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,421,421,Jordanian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,425,425,Lebanese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,427,427,Saudi Arabian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,429,429,Syrian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,431,431,Armenian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,434,434,Turkish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,435,435,Yemeni,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,442,442,Kurdish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,465,465,Palestinian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,483,483,Assyrian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,484,484,Chaldean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,490,490,Mideast,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,495,495,Arab,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,496,496,Arabic,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,499,499,Other Arab,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,508,508,Cameroonian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,510,510,Cape Verdean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,515,515,Congolese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,522,522,Ethiopian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,523,523,Eritrean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,527,527,Gambian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,529,529,Ghanaian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,530,530,Guinean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,534,534,Kenyan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,541,541,Liberian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,553,553,Nigerian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,564,564,Senegalese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,566,566,Sierra Leonean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,568,568,Somali,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,570,570,South African,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,576,576,Sudanese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,586,586,Togo,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,587,587,Other Subsaharan African,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,588,588,Ugandan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,593,593,Zimbabwean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,598,598,Western African,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,599,599,African,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,600,600,Afghan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,603,603,Bangladeshi,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,607,607,Bhutanese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,609,609,Nepali,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,615,615,Asian Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,618,618,Bengali,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,620,620,East Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,650,650,Punjabi,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,680,680,Pakistani,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,690,690,Sri Lankan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,700,700,Burmese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,703,703,Cambodian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,706,706,Chinese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,707,707,Cantonese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,712,712,Mongolian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,714,714,Tibetan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,716,716,Hong Kong,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,720,720,Filipino,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,730,730,Indonesian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,740,740,Japanese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,748,748,Okinawan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,750,750,Korean,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,765,765,Laotian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,768,768,Hmong,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,770,770,Malaysian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,776,776,Thai,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,782,782,Taiwanese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,785,785,Vietnamese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,795,795,Asian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,799,799,Other Asian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,800,800,Australian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,803,803,New Zealander,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,808,808,Polynesian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,811,811,Hawaiian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,814,814,Samoan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,815,815,Tongan,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,820,820,Micronesian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,821,821,Guamanian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,822,822,Chamorro,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,825,825,Marshallese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,841,841,Fijian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,850,850,Pacific Islander,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,899,899,Other Pacific,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,900,900,Afro American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,901,901,Afro,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,902,902,African American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,903,903,Black,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,904,904,Negro,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,907,907,Creole,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,913,913,Central American Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,914,914,South American Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,917,917,Native American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,918,918,Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,919,919,Cherokee,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,920,920,American Indian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,922,922,Eskimo,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,924,924,White,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,925,925,Anglo,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,927,927,Appalachian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,929,929,Pennsylvania German,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,931,931,Canadian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,935,935,French Canadian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,937,937,Cajun,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,939,939,American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,940,940,United States,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,983,983,Texas,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,994,994,North American,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,995,995,Mixture,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,996,996,Uncodable entries,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,997,997,Other groups,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,998,998,Other responses,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,999,999,Not reported,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,001,001,Alsatian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,003,003,Austrian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,005,005,Basque,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,008,008,Belgian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,009,009,Flemish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,011,011,British,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,012,012,British Isles,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,020,020,Danish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,021,021,Dutch,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,022,022,English,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,024,024,Finnish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,026,026,French,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,032,032,German,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,040,040,Prussian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,046,046,Greek,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,049,049,Icelander,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,050,050,Irish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,051,051,Italian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,068,068,Sicilian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,077,077,Luxembourger,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,078,078,Maltese,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,082,082,Norwegian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - second entry,ANC2P,084,084,Portuguese,PWGTP,,,,,,
