title,c_vintage,c_dataset,c_url,Sample,Estimate
ACS 1-Year Detailed Tables,2023,acs/acs1,https://api.census.gov/data/2023/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2022,acs/acs1,https://api.census.gov/data/2022/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2021,acs/acs1,https://api.census.gov/data/2021/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2019,acs/acs1,https://api.census.gov/data/2019/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2018,acs/acs1,https://api.census.gov/data/2018/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2017,acs/acs1,https://api.census.gov/data/2017/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2016,acs/acs1,https://api.census.gov/data/2016/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2015,acs/acs1,https://api.census.gov/data/2015/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2014,acs/acs1,https://api.census.gov/data/2014/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2013,acs/acs1,https://api.census.gov/data/2013/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2012,acs/acs1,https://api.census.gov/data/2012/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2011,acs/acs1,https://api.census.gov/data/2011/acs/acs1,ACS,ACS1
ACS 1-Year Detailed Tables,2010,acs/acs1,https://api.census.gov/data/2010/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2009,acs/acs1,https://api.census.gov/data/2009/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2008,acs/acs1,https://api.census.gov/data/2008/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2007,acs/acs1,https://api.census.gov/data/2007/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2006,acs/acs1,https://api.census.gov/data/2006/acs/acs1,ACS,ACS1
American Community Survey: 1-Year Estimates: Detailed Tables 1-Year,2005,acs/acs1,https://api.census.gov/data/2005/acs/acs1,ACS,ACS1
ACS 1-Year Comparison Profiles,2023,acs/acs1/cprofile,https://api.census.gov/data/2023/acs/acs1/cprofile,,
American Community Survey: 1-Year Estimates: Comparison Profiles 1-Year,2022,acs/acs1/cprofile,https://api.census.gov/data/2022/acs/acs1/cprofile,,
American Community Survey: 1-Year Estimates: Comparison Profiles 1-Year,2021,acs/acs1/cprofile,https://api.census.gov/data/2021/acs/acs1/cprofile,,
American Community Survey: 1-Year Estimates: Comparison Profiles 1-Year,2019,acs/acs1/cprofile,https://api.census.gov/data/2019/acs/acs1/cprofile,,
American Community Survey: 1-Year Estimates: Comparison Profiles 1-Year,2018,acs/acs1/cprofile,https://api.census.gov/data/2018/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2017,acs/acs1/cprofile,https://api.census.gov/data/2017/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2016,acs/acs1/cprofile,https://api.census.gov/data/2016/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2015,acs/acs1/cprofile,https://api.census.gov/data/2015/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2014,acs/acs1/cprofile,https://api.census.gov/data/2014/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2013,acs/acs1/cprofile,https://api.census.gov/data/2013/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2012,acs/acs1/cprofile,https://api.census.gov/data/2012/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2011,acs/acs1/cprofile,https://api.census.gov/data/2011/acs/acs1/cprofile,,
ACS 1-Year Comparison Profiles,2010,acs/acs1/cprofile,https://api.census.gov/data/2010/acs/acs1/cprofile,,
ACS 1-Year Data Profiles,2023,acs/acs1/profile,https://api.census.gov/data/2023/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2022,acs/acs1/profile,https://api.census.gov/data/2022/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2021,acs/acs1/profile,https://api.census.gov/data/2021/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2019,acs/acs1/profile,https://api.census.gov/data/2019/acs/acs1/profile,,
ACS 1-Year Profile Tables,2018,acs/acs1/profile,https://api.census.gov/data/2018/acs/acs1/profile,,
ACS 1-Year Data Profiles,2017,acs/acs1/profile,https://api.census.gov/data/2017/acs/acs1/profile,,
ACS 1-Year Data Profiles,2016,acs/acs1/profile,https://api.census.gov/data/2016/acs/acs1/profile,,
ACS 1-Year Data Profiles,2015,acs/acs1/profile,https://api.census.gov/data/2015/acs/acs1/profile,,
ACS 1-Year Data Profiles,2014,acs/acs1/profile,https://api.census.gov/data/2014/acs/acs1/profile,,
ACS 1-Year Data Profiles,2013,acs/acs1/profile,https://api.census.gov/data/2013/acs/acs1/profile,,
ACS 1-Year Data Profiles,2012,acs/acs1/profile,https://api.census.gov/data/2012/acs/acs1/profile,,
ACS 1-Year Data Profiles,2011,acs/acs1/profile,https://api.census.gov/data/2011/acs/acs1/profile,,
ACS 1-Year Data Profiles,2010,acs/acs1/profile,https://api.census.gov/data/2010/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2009,acs/acs1/profile,https://api.census.gov/data/2009/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2008,acs/acs1/profile,https://api.census.gov/data/2008/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2007,acs/acs1/profile,https://api.census.gov/data/2007/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2006,acs/acs1/profile,https://api.census.gov/data/2006/acs/acs1/profile,,
American Community Survey: 1-Year Estimates: Data Profiles 1-Year,2005,acs/acs1/profile,https://api.census.gov/data/2005/acs/acs1/profile,,
2023 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2023,acs/acs1/pums,https://api.census.gov/data/2023/acs/acs1/pums,PUMS,ACS1
2022 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2022,acs/acs1/pums,https://api.census.gov/data/2022/acs/acs1/pums,PUMS,ACS1
2021 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2021,acs/acs1/pums,https://api.census.gov/data/2021/acs/acs1/pums,PUMS,ACS1
ACS 1-Year PUMS,2019,acs/acs1/pums,https://api.census.gov/data/2019/acs/acs1/pums,PUMS,ACS1
2018 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2018,acs/acs1/pums,https://api.census.gov/data/2018/acs/acs1/pums,PUMS,ACS1
2017 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2017,acs/acs1/pums,https://api.census.gov/data/2017/acs/acs1/pums,PUMS,ACS1
2016 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2016,acs/acs1/pums,https://api.census.gov/data/2016/acs/acs1/pums,PUMS,ACS1
2015 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2015,acs/acs1/pums,https://api.census.gov/data/2015/acs/acs1/pums,PUMS,ACS1
2014 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2014,acs/acs1/pums,https://api.census.gov/data/2014/acs/acs1/pums,PUMS,ACS1
2013 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2013,acs/acs1/pums,https://api.census.gov/data/2013/acs/acs1/pums,PUMS,ACS1
2012 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2012,acs/acs1/pums,https://api.census.gov/data/2012/acs/acs1/pums,PUMS,ACS1
2011 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2011,acs/acs1/pums,https://api.census.gov/data/2011/acs/acs1/pums,PUMS,ACS1
2010 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2010,acs/acs1/pums,https://api.census.gov/data/2010/acs/acs1/pums,PUMS,ACS1
2009 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2009,acs/acs1/pums,https://api.census.gov/data/2009/acs/acs1/pums,PUMS,ACS1
2008 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2008,acs/acs1/pums,https://api.census.gov/data/2008/acs/acs1/pums,PUMS,ACS1
2007 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2007,acs/acs1/pums,https://api.census.gov/data/2007/acs/acs1/pums,PUMS,ACS1
2006 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2006,acs/acs1/pums,https://api.census.gov/data/2006/acs/acs1/pums,PUMS,ACS1
2005 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2005,acs/acs1/pums,https://api.census.gov/data/2005/acs/acs1/pums,PUMS,ACS1
2004 American Community Survey: 1-Year Estimates - Public Use Microdata Sample,2004,acs/acs1/pums,https://api.census.gov/data/2004/acs/acs1/pums,PUMS,ACS1
2023 American Community Survey: 1-Year Estimates - Public Use Microdata Sample Puerto Rico,2023,acs/acs1/pumspr,https://api.census.gov/data/2023/acs/acs1/pumspr,,
2022 American Community Survey: 1-Year Estimates - Public Use Microdata Sample Puerto Rico,2022,acs/acs1/pumspr,https://api.census.gov/data/2022/acs/acs1/pumspr,,
2021 American Community Survey: 1-Year Estimates - Public Use Microdata Sample Puerto Rico,2021,acs/acs1/pumspr,https://api.census.gov/data/2021/acs/acs1/pumspr,,
ACS 1-Year PUMS Puerto Rico,2019,acs/acs1/pumspr,https://api.census.gov/data/2019/acs/acs1/pumspr,,
2018 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2018,acs/acs1/pumspr,https://api.census.gov/data/2018/acs/acs1/pumspr,,
2017 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2017,acs/acs1/pumspr,https://api.census.gov/data/2017/acs/acs1/pumspr,,
2016 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2016,acs/acs1/pumspr,https://api.census.gov/data/2016/acs/acs1/pumspr,,
2015 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2015,acs/acs1/pumspr,https://api.census.gov/data/2015/acs/acs1/pumspr,,
2014 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2014,acs/acs1/pumspr,https://api.census.gov/data/2014/acs/acs1/pumspr,,
2013 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2013,acs/acs1/pumspr,https://api.census.gov/data/2013/acs/acs1/pumspr,,
2012 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2012,acs/acs1/pumspr,https://api.census.gov/data/2012/acs/acs1/pumspr,,
2011 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2011,acs/acs1/pumspr,https://api.census.gov/data/2011/acs/acs1/pumspr,,
2010 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2010,acs/acs1/pumspr,https://api.census.gov/data/2010/acs/acs1/pumspr,,
2009 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2009,acs/acs1/pumspr,https://api.census.gov/data/2009/acs/acs1/pumspr,,
2008 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2008,acs/acs1/pumspr,https://api.census.gov/data/2008/acs/acs1/pumspr,,
2007 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2007,acs/acs1/pumspr,https://api.census.gov/data/2007/acs/acs1/pumspr,,
2006 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2006,acs/acs1/pumspr,https://api.census.gov/data/2006/acs/acs1/pumspr,,
2005 American Community Survey: 1-Year Estimates - Puerto Rico Public Use Microdata Sample,2005,acs/acs1/pumspr,https://api.census.gov/data/2005/acs/acs1/pumspr,,
2023 ACS 1-Year Supplemental Data Profiles for Congressional Redistricting - 119th Congress,2023,acs/acs1/sdataprofile/cd119,https://api.census.gov/data/2023/acs/acs1/sdataprofile/cd119,,
ACS 1-Year Selected Population Profiles,2023,acs/acs1/spp,https://api.census.gov/data/2023/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2022,acs/acs1/spp,https://api.census.gov/data/2022/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2021,acs/acs1/spp,https://api.census.gov/data/2021/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2019,acs/acs1/spp,https://api.census.gov/data/2019/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2018,acs/acs1/spp,https://api.census.gov/data/2018/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2017,acs/acs1/spp,https://api.census.gov/data/2017/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2016,acs/acs1/spp,https://api.census.gov/data/2016/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2015,acs/acs1/spp,https://api.census.gov/data/2015/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2014,acs/acs1/spp,https://api.census.gov/data/2014/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2013,acs/acs1/spp,https://api.census.gov/data/2013/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2012,acs/acs1/spp,https://api.census.gov/data/2012/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2011,acs/acs1/spp,https://api.census.gov/data/2011/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2010,acs/acs1/spp,https://api.census.gov/data/2010/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2009,acs/acs1/spp,https://api.census.gov/data/2009/acs/acs1/spp,,
American Community Survey: 1-Year Estimates: Selected Population Profiles 1-Year,2008,acs/acs1/spp,https://api.census.gov/data/2008/acs/acs1/spp,,
ACS 1-Year Subject Tables,2023,acs/acs1/subject,https://api.census.gov/data/2023/acs/acs1/subject,SUBJECT,ACS1
American Community Survey: 1-Year Estimates: Subject Tables 1-Year,2022,acs/acs1/subject,https://api.census.gov/data/2022/acs/acs1/subject,SUBJECT,ACS1
American Community Survey: 1-Year Estimates: Subject Tables 1-Year,2021,acs/acs1/subject,https://api.census.gov/data/2021/acs/acs1/subject,SUBJECT,ACS1
American Community Survey: 1-Year Estimates: Subject Tables 1-Year,2019,acs/acs1/subject,https://api.census.gov/data/2019/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2018,acs/acs1/subject,https://api.census.gov/data/2018/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2017,acs/acs1/subject,https://api.census.gov/data/2017/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2016,acs/acs1/subject,https://api.census.gov/data/2016/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2015,acs/acs1/subject,https://api.census.gov/data/2015/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2014,acs/acs1/subject,https://api.census.gov/data/2014/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2013,acs/acs1/subject,https://api.census.gov/data/2013/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2012,acs/acs1/subject,https://api.census.gov/data/2012/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2011,acs/acs1/subject,https://api.census.gov/data/2011/acs/acs1/subject,SUBJECT,ACS1
ACS 1-Year Subject Tables,2010,acs/acs1/subject,https://api.census.gov/data/2010/acs/acs1/subject,SUBJECT,ACS1
American Community Survey: 3-Year Estimates: Detailed Tables 3-Year,2013,acs/acs3,https://api.census.gov/data/2013/acs/acs3,,
American Community Survey: 3-Year Estimates: Detailed Tables 3-Year,2012,acs/acs3,https://api.census.gov/data/2012/acs/acs3,,
American Community Survey: 3-Year Estimates: Detailed Tables 3-Year,2011,acs/acs3,https://api.census.gov/data/2011/acs/acs3,,
American Community Survey: 3-Year Estimates: Detailed Tables 3-Year,2009,acs/acs3,https://api.census.gov/data/2009/acs/acs3,,
American Community Survey: 3-Year Estimates: Detailed Tables 3-Year,2008,acs/acs3,https://api.census.gov/data/2008/acs/acs3,,
American Community Survey: 3-Year Estimates: Detailed Tables 3-Year,2007,acs/acs3,https://api.census.gov/data/2007/acs/acs3,,
American Community Survey: 3-Year Estimates: Comparison Profiles 3-Year,2013,acs/acs3/cprofile,https://api.census.gov/data/2013/acs/acs3/cprofile,,
American Community Survey: 3-Year Estimates: Comparison Profiles 3-Year,2012,acs/acs3/cprofile,https://api.census.gov/data/2012/acs/acs3/cprofile,,
American Community Survey: 3-Year Estimates: Data Profiles 3-Year,2013,acs/acs3/profile,https://api.census.gov/data/2013/acs/acs3/profile,,
American Community Survey: 3-Year Estimates: Data Profiles 3-Year,2012,acs/acs3/profile,https://api.census.gov/data/2012/acs/acs3/profile,,
American Community Survey: 3-Year Estimates: Data Profiles 3-Year,2011,acs/acs3/profile,https://api.census.gov/data/2011/acs/acs3/profile,,
American Community Survey: 3-Year Estimates: Data Profiles 3-Year,2010,acs/acs3/profile,https://api.census.gov/data/2010/acs/acs3/profile,,
American Community Survey: 3-Year Estimates: Data Profiles 3-Year,2009,acs/acs3/profile,https://api.census.gov/data/2009/acs/acs3/profile,,
American Community Survey: 3-Year Estimates: Data Profiles 3-Year,2008,acs/acs3/profile,https://api.census.gov/data/2008/acs/acs3/profile,,
American Community Survey: 3-Year Estimates: Data Profiles 3-Year,2007,acs/acs3/profile,https://api.census.gov/data/2007/acs/acs3/profile,,
American Community Survey: 3-Year Estimates: Selected Population Profiles 3-Year,2013,acs/acs3/spp,https://api.census.gov/data/2013/acs/acs3/spp,,
American Community Survey: 3-Year Estimates: Selected Population Profiles 3-Year,2012,acs/acs3/spp,https://api.census.gov/data/2012/acs/acs3/spp,,
American Community Survey: 3-Year Estimates: Selected Population Profiles 3-Year,2011,acs/acs3/spp,https://api.census.gov/data/2011/acs/acs3/spp,,
American Community Survey: 3-Year Estimates: Selected Population Profiles 3-Year,2010,acs/acs3/spp,https://api.census.gov/data/2010/acs/acs3/spp,,
American Community Survey: 3-Year Estimates: Selected Population Profiles 3-Year,2009,acs/acs3/spp,https://api.census.gov/data/2009/acs/acs3/spp,,
American Community Survey: 3-Year Estimates: Subject Tables 3-Year,2013,acs/acs3/subject,https://api.census.gov/data/2013/acs/acs3/subject,,
American Community Survey: 3-Year Estimates: Subject Tables 3-Year,2012,acs/acs3/subject,https://api.census.gov/data/2012/acs/acs3/subject,,
American Community Survey: 3-Year Estimates: Subject Tables 3-Year,2011,acs/acs3/subject,https://api.census.gov/data/2011/acs/acs3/subject,,
American Community Survey: 3-Year Estimates: Subject Tables 3-Year,2010,acs/acs3/subject,https://api.census.gov/data/2010/acs/acs3/subject,,
ACS 5-Year Detailed Tables,2023,acs/acs5,https://api.census.gov/data/2023/acs/acs5,ACS,ACS5
American Community Survey: 5-Year Estimates: Detailed Tables 5-Year,2022,acs/acs5,https://api.census.gov/data/2022/acs/acs5,ACS,ACS5
American Community Survey: 5-Year Estimates: Detailed Tables 5-Year,2021,acs/acs5,https://api.census.gov/data/2021/acs/acs5,ACS,ACS5
American Community Survey: 5-Year Estimates: Detailed Tables 5-Year,2020,acs/acs5,https://api.census.gov/data/2020/acs/acs5,ACS,ACS5
American Community Survey: 5-Year Estimates: Detailed Tables 5-Year,2019,acs/acs5,https://api.census.gov/data/2019/acs/acs5,ACS,ACS5
American Community Survey: 5-Year Estimates: Detailed Tables 5-Year,2018,acs/acs5,https://api.census.gov/data/2018/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2017,acs/acs5,https://api.census.gov/data/2017/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2016,acs/acs5,https://api.census.gov/data/2016/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2015,acs/acs5,https://api.census.gov/data/2015/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2014,acs/acs5,https://api.census.gov/data/2014/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2013,acs/acs5,https://api.census.gov/data/2013/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2012,acs/acs5,https://api.census.gov/data/2012/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2011,acs/acs5,https://api.census.gov/data/2011/acs/acs5,ACS,ACS5
ACS 5-Year Detailed Tables,2010,acs/acs5,https://api.census.gov/data/2010/acs/acs5,ACS,ACS5
American Community Survey: 5-Year Estimates: Detailed Tables 5-Year,2009,acs/acs5,https://api.census.gov/data/2009/acs/acs5,ACS,ACS5
American Community Survey: 5-Year Estimates: American Indian and Alaska Native Detailed Tables 5-Year,2021,acs/acs5/aian,https://api.census.gov/data/2021/acs/acs5/aian,,
ACS 5-Year AIAN Detailed Tables,2015,acs/acs5/aian,https://api.census.gov/data/2015/acs/acs5/aian,,
American Community Survey: 5-Year Estimates: American Indian and Alaska Native Detailed Tables 5-Year,2010,acs/acs5/aian,https://api.census.gov/data/2010/acs/acs5/aian,,
American Community Survey: 5-Year Estimates: American Indian and Alaska Native Data Profiles 5-Year,2021,acs/acs5/aianprofile,https://api.census.gov/data/2021/acs/acs5/aianprofile,,
American Community Survey: 5-Year Estimates: American Indian and Alaska Native Data Profiles 5-Year,2015,acs/acs5/aianprofile,https://api.census.gov/data/2015/acs/acs5/aianprofile,,
American Community Survey: 5-Year Estimates: American Indian and Alaska Native Data Profiles 5-Year,2010,acs/acs5/aianprofile,https://api.census.gov/data/2010/acs/acs5/aianprofile,,
ACS 5-Year Comparison Profiles,2023,acs/acs5/cprofile,https://api.census.gov/data/2023/acs/acs5/cprofile,,
American Community Survey: 5-Year Estimates: Comparison Profiles 5-Year,2022,acs/acs5/cprofile,https://api.census.gov/data/2022/acs/acs5/cprofile,,
American Community Survey: 5-Year Estimates: Comparison Profiles 5-Year,2021,acs/acs5/cprofile,https://api.census.gov/data/2021/acs/acs5/cprofile,,
American Community Survey: 5-Year Estimates: Comparison Profiles 5-Year,2020,acs/acs5/cprofile,https://api.census.gov/data/2020/acs/acs5/cprofile,,
American Community Survey: 5-Year Estimates: Comparison Profiles 5-Year,2019,acs/acs5/cprofile,https://api.census.gov/data/2019/acs/acs5/cprofile,,
American Community Survey: 5-Year Estimates: Comparison Profiles 5-Year,2018,acs/acs5/cprofile,https://api.census.gov/data/2018/acs/acs5/cprofile,,
ACS 5-Year Comparison Profiles,2017,acs/acs5/cprofile,https://api.census.gov/data/2017/acs/acs5/cprofile,,
ACS 5-Year Comparison Profiles,2016,acs/acs5/cprofile,https://api.census.gov/data/2016/acs/acs5/cprofile,,
ACS 5-Year Comparison Profiles,2015,acs/acs5/cprofile,https://api.census.gov/data/2015/acs/acs5/cprofile,,
American Community Survey: 5-Year Estimates: Equal Employment Opportunity 5-Year,2018,acs/acs5/eeo,https://api.census.gov/data/2018/acs/acs5/eeo,,
ACS 5-Year Data Profiles,2023,acs/acs5/profile,https://api.census.gov/data/2023/acs/acs5/profile,,
American Community Survey: 5-Year Estimates: Data Profiles 5-Year,2022,acs/acs5/profile,https://api.census.gov/data/2022/acs/acs5/profile,,
American Community Survey: 5-Year Estimates: Data Profiles 5-Year,2021,acs/acs5/profile,https://api.census.gov/data/2021/acs/acs5/profile,,
American Community Survey: 5-Year Estimates: Data Profiles 5-Year,2020,acs/acs5/profile,https://api.census.gov/data/2020/acs/acs5/profile,,
American Community Survey: 5-Year Estimates: Data Profiles 5-Year,2019,acs/acs5/profile,https://api.census.gov/data/2019/acs/acs5/profile,,
ACS 5-Year Data Profiles,2018,acs/acs5/profile,https://api.census.gov/data/2018/acs/acs5/profile,,
ACS 5-Year Data Profiles,2017,acs/acs5/profile,https://api.census.gov/data/2017/acs/acs5/profile,,
ACS 5-Year Data Profiles,2016,acs/acs5/profile,https://api.census.gov/data/2016/acs/acs5/profile,,
ACS 5-Year Data Profiles,2015,acs/acs5/profile,https://api.census.gov/data/2015/acs/acs5/profile,,
